,Repositório,Organização,Dockerfile,Linguagens,Data Criação,Data Update,Repo link
10,docker-rubygem/itamae-plugin-recipe-ros,"Organization(name=None, id=24866894)","FROM ruby:2.4


MAINTAINER thinkbot@outlook.de


ENV VERSION=0.2.2


RUN gem install itamae-plugin-recipe-ros --version ${VERSION} --no-format-exec


WORKDIR /tmp


ENTRYPOINT [""create_itamae_ros_templates""]
CMD [""--help""]
",,2017-01-15 04:42:02,2017-01-15 04:42:02,https://github.com/docker-rubygem/itamae-plugin-recipe-ros
11,dutradda/myreco,,"FROM python:3.5


MAINTAINER Diogo Dutra <dutradda@gmail.com>
RUN apt-get update
RUN apt-get install -y build-essential libopenblas-dev liblapack-dev
RUN git clone http://github.com/dutradda/myreco /tmp/myreco
RUN pip install -r /tmp/myreco/requirements-dev.txt -r /tmp/myreco/requirements.txt --src /usr/local/src
RUN rm -rf /tmp/myreco
ADD run_tests.sh /usr/bin/run-tests
ENTRYPOINT /bin/bash
","Python
99.8%





Shell
0.2%",2016-09-03 02:33:48,2017-08-10 08:36:28,https://github.com/dutradda/myreco
12,docker-rubygem/ActiveSambaLdap,"Organization(name=None, id=24866894)","FROM ruby:2.4


MAINTAINER thinkbot@outlook.de


ENV VERSION=0.0.7


RUN gem install ActiveSambaLdap --version ${VERSION} --no-format-exec


WORKDIR /tmp


ENTRYPOINT [""asl-groupadd""]
CMD [""--help""]
",,2017-01-14 22:44:22,2017-01-14 22:44:22,https://github.com/docker-rubygem/ActiveSambaLdap
13,gatorcse/jetbrains-base,,"FROM ubuntu:16.10


RUN apt-get update && apt-get install -y default-jre wget
",,2017-01-23 03:42:28,2017-01-23 03:42:28,https://github.com/gatorcse/jetbrains-base
14,cjmay/thrift-4042,,"FROM centos:7
RUN yum update -y && yum clean all
RUN yum install -y gcc-c++ patch python python-devel tar
RUN curl https://bootstrap.pypa.io/get-pip.py | python && \
    pip install --upgrade setuptools
RUN mkdir /tmp/thrift-4042
ADD . /tmp/thrift-4042
WORKDIR /tmp/thrift-4042
RUN python setup.py install
CMD [""python"", ""-m"", ""thrift4042""]
","Python
100.0%",2017-01-27 19:36:23,2017-01-27 19:36:32,https://github.com/cjmay/thrift-4042
15,engineersftw/esg-servers,"Organization(name=None, id=9618429)","FROM php:7.0-apache


# Enable the Apache Headers module:
RUN ln -s /etc/apache2/mods-available/headers.load \
  /etc/apache2/mods-enabled/headers.load


# Enable the Apache Rewrite module:
RUN ln -s /etc/apache2/mods-available/rewrite.load \
  /etc/apache2/mods-enabled/rewrite.load


# Install GD, Imagick and ImageMagick as image conversion options:
RUN DEBIAN_FRONTEND=noninteractive \
  apt-get update && apt-get install -y --no-install-recommends \
    libpng-dev \
    libjpeg-dev \
    libmagickwand-dev \
    imagemagick \
  && pecl install \
    imagick \
  && docker-php-ext-enable \
    imagick \
  && docker-php-ext-configure \
    gd --with-jpeg-dir=/usr/include/ \
  && docker-php-ext-install \
    gd \
 # Uninstall obsolete packages:
  && apt-get autoremove -y \
    libpng-dev \
    libjpeg-dev \
    libmagickwand-dev \
 # Remove obsolete files:
  && apt-get clean \
  && rm -rf \
    /tmp/* \
    /usr/share/doc/* \
    /var/cache/* \
    /var/lib/apt/lists/* \
    /var/tmp/*
","JavaScript
33.5%





HTML
22.7%





Ruby
22.2%





PHP
14.6%





Go
2.3%





Python
1.9%





Other
2.8%",2017-01-28 02:41:45,2017-03-09 00:52:44,https://github.com/engineersftw/esg-servers
16,screwdriver-cd/screwdriver,"Organization(name=None, id=19417863)","FROM node:6


# Screwdriver Version
ARG VERSION=latest


# Create our application directory
RUN mkdir -p /usr/src/app
WORKDIR /usr/src/app


# Install Screwdriver API
RUN npm install screwdriver-api@$VERSION
WORKDIR /usr/src/app/node_modules/screwdriver-api


# Setup configuration folder
RUN ln -s /usr/src/app/node_modules/screwdriver-api/config /config


# Expose the web service port
EXPOSE 8080


# Run the service
CMD [ ""npm"", ""start"" ]
","JavaScript
92.4%





Gherkin
6.0%





Python
1.6%",2016-05-23 20:55:35,2017-11-28 07:02:07,https://github.com/screwdriver-cd/screwdriver
17,UKHomeOffice-attic/dsp-hello-world-simonb,"Organization(name=None, id=18351115)","FROM node:6-alpine
WORKDIR /src
COPY . .
RUN npm install --quiet && npm test
EXPOSE 4000
CMD npm start
","Standard ML
81.9%





JavaScript
18.1%",2017-01-27 14:04:17,2017-05-26 12:45:57,https://github.com/UKHomeOffice-attic/dsp-hello-world-simonb
18,mandla-moyo/cipher_nginx,,"FROM tutum/nginx
RUN rm /etc/nginx/sites-enabled/default
ADD sites-enabled/ /etc/nginx/sites-enabled
",,2017-01-27 13:36:21,2017-01-27 13:36:21,https://github.com/mandla-moyo/cipher_nginx
19,docker-rubygem/arduino_firmata,"Organization(name=None, id=24866894)","FROM ruby:2.4


MAINTAINER thinkbot@outlook.de


ENV VERSION=0.3.7


RUN gem install arduino_firmata --version ${VERSION} --no-format-exec


WORKDIR /tmp


ENTRYPOINT [""arduino_firmata""]
CMD [""--help""]
",,2017-01-15 00:55:37,2017-01-15 00:55:37,https://github.com/docker-rubygem/arduino_firmata
20,smizy/docker-keras-theano,,"FROM smizy/scikit-learn:0.18-alpine


ARG BUILD_DATE
ARG VCS_REF
ARG VERSION


LABEL \
    org.label-schema.build-date=$BUILD_DATE \
    org.label-schema.docker.dockerfile=""/Dockerfile"" \
    org.label-schema.license=""Apache License 2.0"" \
    org.label-schema.name=""smizy/keras"" \
    org.label-schema.url=""https://github.com/smizy"" \
    org.label-schema.vcs-ref=$VCS_REF \
    org.label-schema.vcs-type=""Git"" \
    org.label-schema.version=$VERSION \
    org.label-schema.vcs-url=""https://github.com/smizy/docker-keras-theano""


ENV KERAS_VERSION  $VERSION
ENV KERAS_BACKEND  theano


RUN set -x \
    && apk update \
 ## keras/theano
    && apk --no-cache add \
        g++ \
        python3-dev \
    && pip3 install keras==${KERAS_VERSION} \
    && mkdir -p /home/jupyter/.keras \
 ## clean 
    && find /usr/lib/python3.5 -name __pycache__ | xargs rm -r \
    && rm -rf /root/.[acpw]* 


COPY keras.json  /home/jupyter/.keras/
","Makefile
100.0%",2017-01-25 06:54:22,2017-07-20 03:04:42,https://github.com/smizy/docker-keras-theano
21,senecajs/seneca-mongo-store,"Organization(name=None, id=10085488)","FROM mongo


EXPOSE 27017
","JavaScript
100.0%",2013-02-11 16:41:41,2017-07-22 22:35:24,https://github.com/senecajs/seneca-mongo-store
22,fishtown-analytics/dbt,"Organization(name=None, id=18339788)","FROM python:3.6


RUN apt-get update


RUN apt-get install -y python-pip netcat
RUN apt-get install -y python-dev python3-dev


RUN pip install pip --upgrade
RUN pip install virtualenv
RUN pip install virtualenvwrapper
RUN pip install tox


WORKDIR /usr/src/app
RUN cd /usr/src/app
","Python
99.7%





Other
0.3%",2016-03-10 02:38:00,2017-12-01 21:17:52,https://github.com/fishtown-analytics/dbt
23,rickyshrestha/small-docker,,"FROM microsoft/dotnet:1.1.0-runtime-deps


# copy output from the published folder for docker
COPY ./out/runtime /opt/app/


WORKDIR /opt/app/


RUN chmod +x ./small-docker


CMD [""./small-docker""]
","XSLT
52.1%





C#
24.6%





Shell
23.3%",2017-01-28 22:06:11,2017-02-07 12:41:55,https://github.com/rickyshrestha/small-docker
24,paddykrish/enabledemos-app,,"FROM jtblin/debian-node-graphicsmagick:stretch-node-v4.4.7-gm-v1.3.24
WORKDIR /src
ADD . ./
RUN chown -R node:node /src
USER node
RUN npm install
CMD [""npm"", ""test""]
","CSS
41.8%





JavaScript
40.8%





HTML
15.1%





Java
2.3%",2017-01-11 06:19:59,2017-02-07 16:35:16,https://github.com/paddykrish/enabledemos-app
25,maccyber/micro-bigfive-evaluator,,"###########################################################
#
# Dockerfile for micro-bigfive-evaluator
#
###########################################################


# Setting the base to nodejs 7
FROM mhart/alpine-node:7


# Maintainer
MAINTAINER Jonas Enge


#### Begin setup ####


# Extra tools for native dependencies
# RUN apk add --no-cache make gcc g++ python


# Bundle app source
COPY . /src


# Change working directory
WORKDIR ""/src""


# Install dependencies
RUN npm install --production


# Env variables
ENV SERVER_PORT 3000
ENV LIMIT 5


# Expose 3000
EXPOSE ${SERVER_PORT}


# Startup
ENTRYPOINT micro -p ${SERVER_PORT}
","JavaScript
100.0%",2017-02-07 14:38:39,2017-06-28 16:01:05,https://github.com/maccyber/micro-bigfive-evaluator
26,Nobosaur/node_express,,"FROM ubuntu:12.04
MAINTAINER Remy Sharp <remy@leftlogic.com>


RUN rm /bin/sh && ln -s /bin/bash /bin/sh
RUN apt-get update && apt-get install curl npm -y


ENV NVM_DIR /usr/local/nvm
ENV NODE_VERSION 4
ENV NVM_VERSION 0.26.1
ENV TRAVIS TRUE


# # Install nvm with node and npm
RUN curl https://raw.githubusercontent.com/creationix/nvm/v$NVM_VERSION/install.sh | bash \
    && source $NVM_DIR/nvm.sh \
    && nvm install 0.10 \
    && nvm install 0.12 \
    && nvm install 4 \
    && nvm alias default $NODE_VERSION \
    && nvm use default
","CSS
84.6%





HTML
10.7%





JavaScript
4.0%





Other
0.7%",2017-02-05 19:04:22,2017-02-05 19:10:58,https://github.com/Nobosaur/node_express
27,annabuyevich/StudyTipsBlog,,"FROM ubuntu:12.04
MAINTAINER Remy Sharp <remy@leftlogic.com>


RUN rm /bin/sh && ln -s /bin/bash /bin/sh
RUN apt-get update && apt-get install curl npm -y


ENV NVM_DIR /usr/local/nvm
ENV NODE_VERSION 4
ENV NVM_VERSION 0.26.1
ENV TRAVIS TRUE


# # Install nvm with node and npm
RUN curl https://raw.githubusercontent.com/creationix/nvm/v$NVM_VERSION/install.sh | bash \
    && source $NVM_DIR/nvm.sh \
    && nvm install 0.10 \
    && nvm install 0.12 \
    && nvm install 4 \
    && nvm alias default $NODE_VERSION \
    && nvm use default
","JavaScript
50.6%





HTML
42.8%





CSS
6.6%",2017-02-05 09:28:29,2017-02-05 10:06:54,https://github.com/annabuyevich/StudyTipsBlog
28,huazai128/node-es6-mongodb,,"FROM ubuntu:12.04
MAINTAINER Remy Sharp <remy@leftlogic.com>


RUN rm /bin/sh && ln -s /bin/bash /bin/sh
RUN apt-get update && apt-get install curl npm -y


ENV NVM_DIR /usr/local/nvm
ENV NODE_VERSION 4
ENV NVM_VERSION 0.26.1
ENV TRAVIS TRUE


# # Install nvm with node and npm
RUN curl https://raw.githubusercontent.com/creationix/nvm/v$NVM_VERSION/install.sh | bash \
    && source $NVM_DIR/nvm.sh \
    && nvm install 0.10 \
    && nvm install 0.12 \
    && nvm install 4 \
    && nvm alias default $NODE_VERSION \
    && nvm use default
","JavaScript
72.5%





HTML
24.0%





CSS
3.5%",2017-02-05 15:01:23,2017-02-05 15:11:28,https://github.com/huazai128/node-es6-mongodb
29,docker-rubygem/darrell-activewarehouse-etl,"Organization(name=None, id=24866894)","FROM ruby:2.4


MAINTAINER thinkbot@outlook.de


ENV VERSION=0.9.1.6


RUN gem install darrell-activewarehouse-etl --version ${VERSION} --no-format-exec


WORKDIR /tmp


ENTRYPOINT [""etl""]
CMD [""--help""]
",,2017-01-15 02:38:59,2017-01-15 02:38:59,https://github.com/docker-rubygem/darrell-activewarehouse-etl
0,rgachuhi/services,,"FROM jboss/wildfly:latest
MAINTAINER Raphael Gachuhi, oli.cmu.edu
ADD changeDatabase.xsl ${JBOSS_HOME}/
RUN java -jar /usr/share/java/saxon.jar -s:${JBOSS_HOME}/standalone/configuration/standalone.xml -xsl:${JBOSS_HOME}/changeDatabase.xsl -o:${JBOSS_HOME}/standalone/configuration/standalone.xml; java -jar /usr/share/java/saxon.jar -s:${JBOSS_HOME}/standalone/configuration/standalone-ha.xml -xsl:${JBOSS_HOME}/changeDatabase.xsl -o:${JBOSS_HOME}/standalone/configuration/standalone-ha.xml; rm ${JBOSS_HOME}/changeDatabase.xsl
RUN mkdir -p ${JBOSS_HOME}/modules/system/layers/base/com/mysql/jdbc/main; cd ${JBOSS_HOME}/modules/system/layers/base/com/mysql/jdbc/main && curl -O http://central.maven.org/maven2/mysql/mysql-connector-java/5.1.40/mysql-connector-java-5.1.40.jar
ADD module.xml ${JBOSS_HOME}/modules/system/layers/base/com/mysql/jdbc/main/
","Java
94.7%





XSLT
4.4%





JavaScript
0.9%",2017-01-27 14:23:21,2017-01-27 14:26:18,https://github.com/rgachuhi/services
1,ptoonen/zerodowntimeapps,,"FROM microsoft/dotnet
WORKDIR /app
ENV ASPNETCORE_URLS http://*:80
EXPOSE 80
ENTRYPOINT [""dotnet"", ""web.dll""]
COPY . /app
","C#
88.7%





Shell
5.0%





PowerShell
4.4%





JavaScript
1.1%





CSS
0.8%",2017-02-06 18:06:13,2017-02-06 18:11:25,https://github.com/ptoonen/zerodowntimeapps
2,sensukho/gafootas,,"FROM mongo:latest


MAINTAINER JC Gil <sensukho@gmail.com>


EXPOSE 27017
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
3,sensukho/gafootas,,"FROM node:latest


MAINTAINER JC Gil <sensukho@gmail.com>


ENV TERM=xterm


ADD start_node_api.sh /tmp/
RUN chmod 777 /tmp/start_node_api.sh


RUN apt-get update && apt-get install -y netcat-openbsd
RUN npm install -g nodemon
RUN npm install -g typescript
RUN npm install -g typings


EXPOSE 4200
CMD [""/bin/bash"", ""/tmp/start_node_api.sh""]
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
4,sensukho/gafootas,,"FROM node:latest


MAINTAINER JC Gil <sensukho@gmail.com>


ENV TERM=xterm


ADD start_node_web.sh /tmp/
RUN chmod 777 /tmp/start_node_web.sh


RUN apt-get update && apt-get install -y netcat-openbsd
RUN npm install -g nodemon
RUN npm install -g typescript
RUN npm install -g typings


EXPOSE 3000
CMD [""/bin/bash"", ""/tmp/start_node_web.sh""]
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
5,sensukho/gafootas,,"FROM alpine:latest


MAINTAINER JC Gil <sensukho@gmail.com>


CMD [""true""]
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
6,sensukho/gafootas,,"FROM alpine:latest


MAINTAINER JC Gil <sensukho@gmail.com>


CMD [""true""]
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
7,sensukho/gafootas,,"FROM node:latest


RUN git clone https://github.com/akveo/ng2-admin.git /var/www \
    && cd /var/www \
    && npm install --global rimraf \
    && npm run clean \
    && npm install --global webpack webpack-dev-server typescript@beta \
    && npm install \
    && npm run prebuild:prod && npm run build:prod


EXPOSE 8080


WORKDIR /var/www
ENTRYPOINT [""npm"", ""run"", ""server:prod""]
","TypeScript
46.5%





CSS
25.5%





HTML
18.9%





JavaScript
8.5%





CoffeeScript
0.4%





Shell
0.1%





Makefile
0.1%",2017-02-06 22:10:42,2017-02-06 22:21:27,https://github.com/sensukho/gafootas
8,sammynave/api,,"FROM elixir:latest
ENV DEBIAN_FRONTEND=noninteractive
RUN mix local.hex --force
RUN mix local.rebar --force
RUN mix archive.install --force https://github.com/phoenixframework/archives/raw/master/phoenix_new.ez
RUN curl -sL https://deb.nodesource.com/setup_6.x | bash -
RUN apt-get install -y -q nodejs


WORKDIR /app
ADD . /app
","Elixir
53.1%





JavaScript
46.9%",2017-02-04 20:36:30,2017-02-15 01:04:02,https://github.com/sammynave/api
9,critiqueslibres/docker_pg,"Organization(name=None, id=21012256)","FROM centos:latest
MAINTAINER ptim007@yahoo.com
ENV MAJORVER=9
ENV MINORVER=6
RUN yum update -y
RUN yum install -y libxslt systemd-sysv
ADD https://yum.postgresql.org/${MAJORVER}.${MINORVER}/redhat/rhel-7-x86_64/postgresql${MAJORVER}${MINORVER}-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm /tmp
ADD https://yum.postgresql.org/${MAJORVER}.${MINORVER}/redhat/rhel-7-x86_64/postgresql${MAJORVER}${MINORVER}-contrib-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm /tmp
ADD https://yum.postgresql.org/${MAJORVER}.${MINORVER}/redhat/rhel-7-x86_64/postgresql${MAJORVER}${MINORVER}-libs-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm /tmp
ADD https://yum.postgresql.org/${MAJORVER}.${MINORVER}/redhat/rhel-7-x86_64/postgresql${MAJORVER}${MINORVER}-server-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm /tmp
RUN rpm -i /tmp/postgresql${MAJORVER}${MINORVER}-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm \
           /tmp/postgresql${MAJORVER}${MINORVER}-contrib-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm \
           /tmp/postgresql${MAJORVER}${MINORVER}-libs-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm \
           /tmp/postgresql${MAJORVER}${MINORVER}-server-${MAJORVER}.${MINORVER}.1-1PGDG.rhel7.x86_64.rpm 
RUN mkdir -p /u01/pg96/data /u02/backup /u02/archive && chown -R postgres:postgres /u01/pg96 /u02/backup /u02/archive && chmod 700 /u01/pg96/data /u02/archive
ENV PGDATA /u01/pg96/data
ENV LANG=en_US.UTF-8
RUN usermod -G wheel -a postgres && echo ""postgres"" | passwd --stdin postgres
RUN localedef -i en_US -f UTF-8 en_US.UTF-8
USER postgres
#RUN /usr/pgsql-9.6/bin/pg_ctl initdb -D ${PGDATA} -o ""--encoding='UTF8' --locale=C""
#RUN /usr/pgsql-9.6/bin/pg_ctl -D /u01/pg96/data start -w && \
#      /usr/pgsql-9.6/bin/psql --command ""create database phoenix ENCODING='UTF8' LC_COLLATE='C';""
ADD initdb.sh /tmp
RUN /tmp/initdb.sh
VOLUME [""/u01/pg96/data"",""/u02/archive""]
ENTRYPOINT [""/usr/pgsql-9.6/bin/pg_ctl"",""-D"",""${PGDATA}"",""start""]
","Shell
100.0%",2017-02-05 15:48:06,2017-02-05 15:55:32,https://github.com/critiqueslibres/docker_pg
10,BreakOutEvent/breakout-backend,"Organization(name=None, id=13019720)","FROM java:openjdk-8-jdk


RUN mkdir -p /usr/src/myapp
COPY . /usr/src/myapp
WORKDIR /usr/src/myapp


RUN ./gradlew stage
CMD [""java"", ""-jar"", ""/usr/src/myapp/app.jar""]
EXPOSE 8082
","Kotlin
54.1%





HTML
45.6%





Shell
0.3%",2015-08-22 14:28:22,2017-08-18 08:25:23,https://github.com/BreakOutEvent/breakout-backend
11,zieckey/condiment,,"FROM ubuntu
MAINTAINER zieckey@codeg.cn
ADD ./helloworld /usr/bin/helloworld
","C++
78.5%





C
14.5%





Makefile
2.4%





Protocol Buffer
2.4%





CMake
1.6%





Shell
0.5%





Other
0.1%",2013-06-02 01:57:33,2017-07-14 15:42:23,https://github.com/zieckey/condiment
12,zieckey/condiment,,"FROM ubuntu
MAINTAINER zieckey@codeg.cn
RUN apt-get update
RUN mv /etc/apt/sources.list /etc/apt/sources.list.backup
ADD https://raw.githubusercontent.com/zieckey/tools/master/ubuntu/sources.list /etc/apt/sources.list
EXPOSE 80
","C++
78.5%





C
14.5%





Makefile
2.4%





Protocol Buffer
2.4%





CMake
1.6%





Shell
0.5%





Other
0.1%",2013-06-02 01:57:33,2017-07-14 15:42:23,https://github.com/zieckey/condiment
13,jpetazzo/gunsub,,"FROM ubuntu
MAINTAINER jerome.petazzoni@dotcloud.com
RUN apt-get install -qy python python-pandas
ADD gunsub.py /gunsub.py
CMD python /gunsub.py
","Python
100.0%",2013-08-30 18:26:50,2017-09-20 11:52:47,https://github.com/jpetazzo/gunsub
14,brimstone/docker-precise,,"FROM scratch


ADD precise.tar.gz /


CMD /sbin/upstart
","Shell
100.0%",2013-09-07 02:56:06,2014-02-25 02:48:38,https://github.com/brimstone/docker-precise
